Year	Rd	Pk	Tm	Player
1987	1	10	CHI	Horace Grant
1987	1	11	IND	Reggie Miller
1987	1	12	WSB	Muggsy Bogues
1987	1	13	LAC	Joe Wolf
1987	1	14	GSW	Tellis Frank
1987	1	15	UTA	Jose Ortiz
1987	1	16	PHI	Chris Welp
1987	1	17	POR	Ronnie Murphy
1987	1	18	NYK	Mark Jackson
1987	1	19	LAC	Ken Norman
1987	1	20	DAL	Jim Farmer
1987	1	21	ATL	Dallas Comegys
1987	1	22	BOS	Reggie Lewis
1987	1	23	SAS	Greg Anderson
1987	2	24	DET	Fred Banks
1987	2	25	NYK	Ron Moore
1987	2	26	DAL	Steve Alford
1987	2	27	SAS	Nate Blackwell
1987	2	28	CHI	Rickie Winslow
1987	2	29	POR	Lester Fonville
1987	2	30	POR	Nikita Wilson
1987	2	31	DEN	Andre Moore
1987	2	32	MIL	Bob McCann
1987	2	33	CHI	Tony White
1987	2	34	IND	Brian Rowsom
1987	2	35	HOU	Doug Lee
1987	2	36	WSB	Duane Washington
1987	2	37	WSB	Derrick Dowell
1987	2	38	LAC	Norris Coleman
1987	2	39	PHI	Vincent Askew
1987	2	40	MIL	Winston Garland
1987	2	41	CLE	Kannard Johnson
1987	2	42	ATL	Terence Bailey
1987	2	43	PHI	Andrew Kennedy
1987	2	44	ATL	Terry Coner
1987	2	45	BOS	Brad Lohaus
1987	2	46	PHO	Bruce Dalrymple
1987	3	47	LAC	Tim McCalister
1987	3	48	NJN	Jamie Waller
1987	3	49	NYK	Jerome Batiste
1987	3	50	SAS	Phil Zevenbergen
1988	1	1	LAC	Danny Manning
1988	1	2	IND	Rik Smits
1988	1	3	PHI	Charles Smith1
1988	1	4	NJN	Chris Morris
1988	1	5	GSW	Mitch Richmond
1988	1	6	LAC	Hersey Hawkins
1988	1	7	PHO	Tim Perry
1988	1	8	CHH	Rex Chapman
1988	1	9	MIA	Rony Seikaly
1988	1	10	SAS	Willie Anderson
1988	1	11	CHI	Will Perdue
1988	1	12	WSB	Harvey Grant
1988	1	13	MIL	Jeff Grayer
1988	1	14	PHO	Dan Majerle
1988	1	15	SEA	Gary Grant
1988	1	16	HOU	Derrick Chievous
1988	1	17	UTA	Eric Leckner
1988	1	18	SAC	Ricky Berry
1988	1	19	NYK	Rod Strickland
1988	1	20	MIA	Kevin Edwards
1988	1	21	POR	Mark Bryant
1988	1	22	CLE	Randolph Keys
1988	1	23	DEN	Jerome Lane
1988	1	24	BOS	Brian Shaw
1988	1	25	LAL	David Rivers
1988	2	26	POR	Rolando Ferreira
1988	2	27	SAS	Shelton Jones
1988	2	28	PHO	Andrew Lang
1988	2	29	SAC	Vinny Del Negro
1988	2	30	DET	Fennis Dembo
1988	2	31	PHI	Everette Stephens
1988	2	32	NJN	Charles Shackleford
1988	2	33	MIA	Grant Long
1988	2	34	CHH	Tom Tolbert
1988	2	35	MIA	Sylvester Gray
1988	2	36	WSB	Ledell Eackles
1988	2	37	NYK	Greg Butler
1988	2	38	PHO	Dean Garrett
1988	2	39	MIL	Tito Horford
1988	2	40	MIA	Orlando Graham
1988	2	41	GSW	Keith Smart
1988	2	42	UTA	Jeff Moe
1988	2	43	DEN	Todd Mitchell
1988	2	44	ATL	Anthony Taylor
1988	2	45	LAC	Tom Garrick
1988	2	46	DAL	Morlon Wiley
1988	2	47	DEN	Vernon Maxwell
1988	2	48	DET	Micheal Williams
1988	2	49	DAL	Jose Vargas
1988	2	50	PHO	Steve Kerr
